id,egcs,ercs,erAtt
1989,Sri Lanka,Telebiz International (Labuan) Corporation,84.0
1990,Sri Lanka,Telebiz International (Labuan) Corporation,86.0
1991,Indonesia,NAME - BHARTI AIRTEL,84.0
1992,Bangladesh,Onextel Technology Est - Ajoxi,84.0
1993,Sri Lanka,Telebiz International (Labuan) Corporation,86.0
1994,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,96.0
1995,Brazil,Arptel,84.0
1996,Nepal,Name - Vodafone Idea Limited,84.0
1997,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,84.0
1998,India,Name JUPHOON (HK) LIMITED,84.0
1999,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,89.0
2000,Bangladesh,Name - TVoice Telecom Limited,84.0
2001,Bangladesh,Progressive Telecom LLC. Letsdial,84.0
2002,New Zealand,Name - GLM TELECOM S.r.l.,87.0
2003,South Korea,Green Packet Global Pte Ltd Techopen,131.0
2004,Mexico,Astrolink Ajoxi,83.0
2005,India,Name JUPHOON (HK) LIMITED,83.0
2006,Brazil,Sihai - Meratalk NFS,83.0
2007,Brazil,SVG-techopen,83.0
2008,Bangladesh,Orange Business Services Softtop,83.0
2009,Bangladesh,Orange Business Services Softtop,83.0
2010,India,Name JUPHOON (HK) LIMITED,83.0
2011,Indonesia,TM TECHNOLOGY SERVICES SDN. BHD.,83.0
2012,Bangladesh,Name - TERMSAT L.L.C-FZ,83.0
2013,Italy,Figoria telecom - Ajoxi,83.0
2014,Pakistan,QUICKCOM TELECOM - ROZPER (NFS),155.0
2015,India,Name JUPHOON (HK) LIMITED,83.0
2016,Nepal,Name - Vodafone Idea Limited,83.0
2017,India,Speed Cloud Rozper NFS,83.0
2018,Bangladesh,Name - TVoice Telecom Limited,83.0
2019,Laos,Name - HKBN,89.0
2020,Thailand,Columbus Network Ajoxi,83.0
2021,Nepal,Name - Vodafone Idea Limited,83.0
2022,Bangladesh,Name - TVoice Telecom Limited,83.0
